m,n,k,time (s),gigapixels per second
1024,768,5,0.000704,1.117780
2048,2048,5,0.001916,2.188676
8192,8192,5,0.092002,0.729431
4194304,768,5,1.953954,1.648568
16777216,768,5,6.455058,1.996093

